Periodicidad: Mensual
"Periodo","Indicadores económicos de coyuntura > Tasas de ocupación, desocupación y subocupación (resultados mensuales de la ENOE, 15 años y más) > Series desestacionalizadas y tendencia-ciclo > Nacional > Tasa de desocupación > Total > Serie desestacionalizada Índice f1/ (Porcentaje de la Población Económicamente Activa) ","Indicadores económicos de coyuntura > Índices de precios > Índice nacional de precios al consumidor. Base segunda quincena de julio de 2018=100 > Mensual > Inflación mensual interanual Índice general f2/ (Variación porcentual) "
"2005/01","3.636755153402","4.54"
"2005/02","3.551407645539","4.27"
"2005/03","3.632563234793","4.39"
"2005/04","3.56652051071","4.6"
"2005/05","3.677918440758","4.6"
"2005/06","3.743499128433","4.33"
"2005/07","3.57523190193","4.47"
"2005/08","3.434788059454","3.95"
"2005/09","3.340362070865","3.51"
"2005/10","3.26073424787","3.05"
"2005/11","3.147301973348","2.91"
"2005/12","3.173327070327","3.33"
"2006/01","3.202334888403","3.94"
"2006/02","3.521807572538","3.75"
"2006/03","3.335968884508","3.41"
"2006/04","3.382290327568","3.2"
"2006/05","3.146376954634","3"
"2006/06","3.506269669883","3.18"
"2006/07","3.66525920821","3.06"
"2006/08","3.616748712808","3.47"
"2006/09","3.727625149744","4.09"
"2006/10","3.677396418862","4.29"
"2006/11","3.739329718345","4.09"
"2006/12","3.790183604437","4.05"
"2007/01","3.730109095129","3.98"
"2007/02","3.816747038323","4.11"
"2007/03","3.80054931217","4.21"
"2007/04","3.688204828088","3.99"
"2007/05","3.465787953136","3.95"
"2007/06","3.538455766094","3.98"
"2007/07","3.487017170843","4.14"
"2007/08","3.576317514607","4.03"
"2007/09","3.503364431193","3.79"
"2007/10","3.631091286877","3.74"
"2007/11","3.553247830042","3.93"
"2007/12","3.524255303599","3.76"
"2008/01","3.81706223008","3.7"
"2008/02","3.680309997248","3.72"
"2008/03","3.760274834157","4.25"
"2008/04","3.617664114577","4.55"
"2008/05","3.576601792246","4.95"
"2008/06","3.61166753898","5.26"
"2008/07","3.843557656489","5.39"
"2008/08","3.776114981768","5.57"
"2008/09","3.855476813583","5.47"
"2008/10","4.023080501205","5.78"
"2008/11","4.536738829567","6.23"
"2008/12","4.534790010761","6.53"
"2009/01","4.671994584896","6.28"
"2009/02","5.003208606564","6.2"
"2009/03","4.956671093466","6.04"
"2009/04","5.198117734717","6.17"
"2009/05","5.598535096836","5.98"
"2009/06","5.285659766772","5.74"
"2009/07","5.462137917764","5.44"
"2009/08","5.709118366784","5.08"
"2009/09","5.984437515473","4.89"
"2009/10","5.492904716644","4.5"
"2009/11","5.288597564943","3.86"
