entidad,mun,nom_mun,nom_loc,pobtot,delitos,delitos_pers
9,002,Azcapotzalco,Total del Municipio,345123,10820,3.135114148
9,003,Coyoacán,Total del Municipio,500374,15722,3.142049747
9,004,Cuajimalpa de Morelos,Total del Municipio,162395,3785,2.330736784
9,005,Gustavo A. Madero,Total del Municipio,911482,24229,2.658198407
9,006,Iztacalco,Total del Municipio,319021,10240,3.209820043
9,007,Iztapalapa,Total del Municipio,1383459,38185,2.760110708
9,008,La Magdalena Contreras,Total del Municipio,189047,4004,2.117991822
9,009,Milpa Alta,Total del Municipio,108278,1641,1.515543324
9,010,Álvaro Obregón,Total del Municipio,590251,17983,3.046669976
9,011,Tláhuac,Total del Municipio,288877,6000,2.077008554
9,012,Tlalpan,Total del Municipio,539464,14524,2.692301989
9,013,Xochimilco,Total del Municipio,332325,7432,2.236365004
9,014,Benito Juárez,Total del Municipio,372085,20595,5.535025599
9,015,Cuauhtémoc,Total del Municipio,444024,37045,8.343017495
9,016,Miguel Hidalgo,Total del Municipio,332956,16227,4.873616934
9,017,Venustiano Carranza,Total del Municipio,347576,14418,4.148157525
